Department,Gender,GPA,Field,Backlogs,mark10,mark12,Quota,Package
CSE,Male,8.83,Software,0,95,96.8,OBC,30
ICE,Male,8.64,Core,0,95,95.8,General,14.48
Mech,Male,8.27,Core,0,97,98.1,OBC,7
Prod,Male,8.16,Analytics,0,95.8,89.08,General,8
ICE,Male,8.06,Core,0,92.15,98.2,OBC,7.5
Mech,Male,7.66,Analytics,0,95,90.2,OBC,10
Prod,Female,9.24,Management,0,95,95.8,General,28
Mech,Male,8.42,Analytics,0,100,96.2,General,10
Civil,Male,8.08,Core,0,95,94.6,General,6
Civil,Male,8.12,Software,0,93.1,94.6,General,13.6
Mech,Male,7.57,Analytics,0,91.2,84,OBC,7.5
ICE,Female,8.49,Software,0,95,97.4,General,13.6
Prod,Female,8.06,Core,0,9.2,93,SC,10
Chem,Female,8.06,Core,0,87.4,76.6,PwD,6
Mech,Male,6.91,Core,0,87.4,85.8,General,14
ECE,Male,8.53,Core,0,93.1,99.1,OBC,20
ECE,Male,7.7,Software,0,95,94,OBC,22
ECE,Female,9.4,Core,0,95,96.8,General,20.2
Chem,Male,8.6,Software,0,95,93.8,OBC,13.6
ECE,Male,9.29,Core,0,95,94,General,15.54
EEE,Female,9.62,Core,0,10,96.6,General,15.54
ECE,Male,7.76,Core,0,93.7,98.3,OBC,15.54
Prod,Male,7.4,Analytics,0,92,93,OBC,5.5
CSE,Male,7.94,Software,0,93.1,98.9,SC,26
CSE,Male,8.2,Software,0,95,97.6,General,25
EEE,Female,7.63,Software,0,91.2,93.4,General,26
ECE,Male,8.04,Software,0,90,98.7,OBC,22
Mech,Male,8.15,Software,0,98.4,98.916,OBC,22
ECE,Male,7.84,Software,0,92.15,98.7,OBC,19.89
Civil,Male,8.04,Core,0,92.15,98.5,SC,4
EEE,Male,7.31,Software,0,92.15,97.7,OBC,13.6
CSE,Male,8.62,Software,0,95,96.2,OBC,28
ICE,Male,9.37,Core,0,89.3,95.2,OBC,6
Chem,Male,8.36,Software,0,91.2,92,OBC,8
Civil,Male,8.22,Core,0,91.2,88.8,SC,5.5
CSE,Male,8.62,Software,0,95,97.2,OBC,26
Mech,Male,7.48,Management,0,100,98.2,SC,18
Prod,Male,8.79,Analytics,0,95,92,OBC,8.5
Civil,Female,8.31,Core,0,95,93,General,6
Prod,Male,6.98,Software,0,84,74,SC,12.5
Mech,Male,8.14,Core,0,91.2,92.6,SC,10
CSE,Male,8.13,Software,0,93.1,98.8,OBC,16
ICE,Male,6.39,Core,0,91.2,93.6,General,7
CSE,Female,7.84,Software,0,93.1,99,OBC,31.77
Mech,Male,7.62,Core,0,91.2,93.4,SC,4
CSE,Male,9.5,Software,0,95,97.4,General,43
MME,Male,7.85,Software,0,89.3,94.6,General,13.7
ICE,Male,7.77,Core,0,93.2,88.6,SC,8
CSE,Male,7.1,Software,0,81,79,SC,9
Civil,Male,8.33,Analytics,0,95,92.6,OBC,6.5
Chem,Male,8.02,Core,0,93.1,97.7,General,7
ICE,Male,7.36,Software,0,95,95.6,General,13.6
Civil,Male,7.8,Core,0,95,93,General,8
MME,Male,6.39,Analytics,0,95,92.4,General,6.8
Prod,Male,8.5,Analytics,0,95,95.2,General,10
Prod,Male,8.56,Software,0,95,95.4,General,8.9
CSE,Female,7.1,Software,0,9.8,91.03,OBC,15
ECE,Male,6.89,Software,0,89.3,98,SC,9
Chem,Male,7.56,Software,0,92.16,97.4,General,12.93
ICE,Male,7.93,Core,0,92.15,98.4,OBC,18
Chem,Male,6.52,Analytics,0,8,82.8,General,6.5
CSE,Male,8.43,Software,0,95,96.4,OBC,30
CSE,Female,8.33,Software,0,93.1,99,General,22
CSE,Male,8.08,Software,0,95,93.8,SC,22
Mech,Male,9.07,Core,0,95,96.8,General,6
ICE,Male,8.17,Core,0,92.15,98.3,General,14.48
Prod,Male,7.88,Analytics,0,72.8,72.6,OBC,4.5
EEE,Female,7.97,Management,0,95,95.4,General,28
MME,Male,8.96,Core,0,96.4,92,OBC,7.5
ICE,Male,6.55,Core,0,9.8,97,General,7.5
MME,Male,7.93,Core,0,95,98.4,OBC,6
Prod,Male,9,Analytics,0,95,93.4,SC,10
Prod,Female,9.12,Software,0,93.1,94,OBC,13.6
Prod,Female,6.54,Core,0,95,95.9,SC,5.5
